title,author,publisher,year,status,description,jury_rationale
Andernorts,Doron Rabinovici,Suhrkamp Verlag,2010,Shortlist,"Richtig wohl fühlt sich der israelische Kulturwissenschaftler Ethan Rosen nur auf Reisen. Im Augenblick fliegt er von Tel Aviv, wo er seine Familie besucht hatte, nach Wien und schreibt an einem der polemischen Artikel, die er vorzugsweise unterwegs verfasst – diesmal gegen seinen größten Konkurrenten um eine Professur, Rudi Klausinger. Kaum in Wien angekommen, erreicht ihn die Nachricht, sein Vater liege im Krankenhaus. Zurück in Israel erfährt er, dass Klausinger nicht nur in beruflicher Hinsicht mit ihm konkurriert…","„Andernorts“ von Doron Rabinovici spielt zwischen Israel und Wien und verhandelt die großen Fragen des Judentums, der Schoah, des Erinnerns und Vergessens – und zwar auf unglaublich komische Weise. Es beginnt im Flugzeug: Der Kulturwissenschaftler Ethan Rosen, der in Wien mit seinem Kollegenfeind Rudi Klausinger um eine Professur an der Universität konkurriert, ist auf dem Weg nach Tel Aviv, wo sein Vater im Sterben liegt. Dort angekommen, findet er am Bettrand des Vaters ausgerechnet Rudi Klausinger, der behauptet, in Wahrheit sein Bruder zu sein. Ist die Geschichte ihrer Familie also die Geschichte einer Lüge? Und wenn ja: Welches Recht haben die Überlebenden von Auschwitz, die in den Erinnerungen die Wahrheit suchen, eine Familie, einen Staat basierend auf einer Lüge zu gründen? Das sind die Fragen, die der in Wien lebende Doron Rabinovici stellt: in seinem schlauen, reflektierten, komischen und sehr elegant erzählten Buch."
"Dinge, die wir heute sagten",Judith Zander,Deutscher Taschenbuch Verlag,2010,Shortlist,"Das Dorf Bresekow – eine kleine Welt, eng, abgelegen und vom Verfall bedroht. Als die alte Frau Hanske stirbt, kommt ihre Tochter Ingrid mit ihrer Familie aus Irland zur Beerdigung. Ingrid hatte Bresekow vor vielen Jahren fluchtartig verlassen. Der Besuch verändert vieles im Dorf, wirft alte und neue Fragen auf. Die Dorfbewohner beginnen zu sprechen, über ihr derzeitiges Leben und ihre Verstrickungen von damals. Judith Zander erzählt von einem verschwiegenen Ort im Nordosten Deutschlands, von Provinz und Alltag, von Freundschaft und Verrat, vom Leben selbst.","Dinge, die wir heute sagten‘ ist ein kunstvoll erzählter Roman aus der nordostdeutschen Provinz. Schon seit je nicht im Zentrum der Welt gelegen, gerät Bresekow nach den gesellschaftlichen Umbrüchen der Wiedervereinigung noch weiter ins Abseits. Der Roman, der vom Weggehen, vom Wiederkommen und Nichtweggehen-Können handelt, erzählt vielstimmig ein halbes Jahrhundert Geschichte vom Rand der Welt. Wie in jedem guten Heimatroman bleibt in diesem außerordentlichen Debüt kein Raum für Idylle, denn die Zeit heilt nicht nur Wunden, sondern reißt alte auch wieder auf."
Georgs Sorgen um die Vergangenheit oder im Reich des heiligen Hodensack-Bimbams von Prag,Jan Faktor,Kiepenheuer & Witsch,2010,Shortlist,"Das sozialistische Prag hat mit den Jahren seinen Glanz verloren und Georg nutzt alle sich bietenden Freiräume, um auszubrechen. In einer Gesellschaft, die von den Rändern her vergammelt und sich von innen auflöst, mobilisiert er alle Kräfte, um neben der Mutter auch dem stickig-klebrigen Vaterhaushalt zu entkommen, in dem er seine verhassten Wochenenden verbringen muss. Ein mit viel Witz gezeichnetes Psychogramm einer Familie, ein hellsichtiges Porträt einer Stadt, ein erotischer Entwicklungsroman über Widerstände, Schmutz und Schönheit.","Eine Kindheit und Jugend im sozialistischen Prag von den 50er- bis in die 70er-Jahre. Jan Faktor erzählt sie als eine Geschichte voller Witz, durch den die Trauer über so viel dumpf vergeudeter Lebenszeit hindurch scheint. Wo sonst träumen kleine Jungen schon davon, Müllmann zu werden? Wenn Faktor die Mülltonnen über das Prager Altstadtpflaster rauschen lässt, tut er dies so anschaulich, dass man den Schmutz, um den es doch geht, fast vergisst. Dieses Buch in seiner eigenwilligen Lebendigkeit und Melancholie ist die Summe eines ganzen Lebens – und der Triumph darüber."
Rabenliebe,Peter Wawerzinek,Galiani Berlin,2010,Shortlist,"Wie konnte seine Mutter es ihm antun, ihn als Kleinkind in der DDR zurückzulassen, als sie in den Westen floh? Der einsame Junge, herumgereicht in verschiedenen Kinderheimen, bleibt stumm bis weit ins vierte Jahr, meidet Menschen, lauscht lieber den Vögeln und ahmt ihren Gesang nach. Viel später, als Grenzsoldat, unternimmt er einen Fluchtversuch Richtung Mutter in den Westen, kehrt aber, auf halbem Weg wieder um: Will er sie, die ihn ausgestoßen und sich nie gemeldet hat, wirklich wiedersehen? Ein Roman über das lebenslange Gefühl von Verlassenheit, Verlorenheit und Muttersehnsucht.","Die Geschichte eines verlassenen, verratenen Kindes, das in Waisenheimen der DDR aufwächst. Spät erfährt der Junge, dass die Mutter in den Westen abgehauen ist und noch lebt. Es beginnt eine lebenslange Suche nach der Mutter, die erfolgreich endet, denn er findet sie – und erfolglos, denn die beiden haben einander nichts zu sagen. Mehr als nur eine Autobiografie, sondern eine große literarische Erzählung über die Einsamkeit, ein Trauergesang aus vielen Stimmen, und zugleich eine Sozialgeschichte der DDR in den sechziger Jahren."
"September, Fata Morgana",Thomas Lehr,Carl Hanser Verlag,2010,Shortlist,"Zwei Väter und zwei Töchter: Der deutsch-amerikanische Germanistikprofessor Martin lebt mit seiner Tochter Sabrina in den USA, der irakische Arzt Tarik und seine Tochter Muna leben in Bagdad. Nichts verbindet die beiden Familien. Doch dann stirbt Sabrina am 11. September 2001 im World Trade Center, und Muna kommt in den letzten Kriegstagen 2004 in Bagdad bei einem Bombenattentat ums Leben. Thomas Lehrs Roman erhellt die politischen Katastrophen der jüngsten Vergangenheit am Beispiel zweier jungen Frauen, und begibt sich damit auch auf eine literarische Grenzwanderung zwischen zwei Kulturen.","Thomas Lehr wagt ein riskantes Unterfangen. Er beschreibt ein hochbrisantes politisches Thema, den 11. September und die kriegerischen Folgen, als 470-Seiten-Poem; als west-östlichen Dialog. Vier Stimmen erzählen, zwei Väter, zwei Töchter, in den USA und im Irak, in New York, wo die Twin Towers stürzen und in Bagdad, wo „die Luft blutet“ und Menschen gefoltert werden. Gedichte von Goethe und Hafis, von Friedrich Rückert und Adonis und vielen anderen verweben die Schauplätze und machen den Roman zum westöstlichen Diwan unserer Tage."
In Zeiten des abnehmenden Lichts,Eugen Ruge,Rowohlt Verlag,2011,Winner,"Von den fünfziger Jahren über das Wendejahr 89 bis zum Beginn des neuen Jahrtausends reicht dieser Familienroman. Im Mittelpunkt drei Generationen: Die Großeltern, überzeugte Kommunisten, kehren aus dem mexikanischen Exil in die junge DDR heim, um die neue Republik aufzubauen. Ihr Sohn, als junger Mann nach Moskau emigriert und später in ein sibirisches Lager verschleppt, tritt die Reise vom Ural aus an. Er kehrt zurück in eine Kleinbürgerrepublik, an deren Veränderbarkeit er weiterhin glaubt. Dem Enkel wird die Wahlheimat von Eltern und Großeltern indes zu eng – bis er, ausgerechnet am neunzigsten Geburtstag des Patriarchen, in den Westen geht.","Es braucht nur ein paar Seiten, um mittendrin zu sein, im Leben der Anderen: Einer deutschen Familie vom Ost-Anfang bis zur West-Wende. Von drei Generationen erzählt der Roman, zu jeder findet man beim Lesen eine stille Nähe. Eugen Ruges Sprache drängt sich nicht auf, verzichtet auf blumige verbale Schlenker, ist lebendig im Vergehen und besitzt feinen Humor. Deutschland in Zeiten von Pieck, Grotewohl, Ulbricht, Honecker, das ist auch eine geballte Ladung Geschichte. Und doch verkommt der Roman nie zur historischen Nachhilfe in Buchform, sondern bleibt 426 Seiten lang ein großes literarisches Vergnügen."
Blumenberg,Sibylle Lewitscharoff,Suhrkamp Verlag,2011,Shortlist,"Groß, gelb, gelassen: berückend selbstverständlich liegt eines Nachts ein Löwe im Arbeitszimmer des Philosophen Blumenberg. Die Glieder auf dem Teppich ausgestreckt, die Augen auf den Hausherrn gerichtet. Der gerät, mit einiger Mühe, nicht aus der Fassung, auch nicht, als der Löwe am nächsten Tag in seine Vorlesung trottet. Die Bänke sind voll besetzt, aber keiner der Zuhörer scheint ihn zu sehen. Das Auftauchen des Tieres wirkt nicht nur in das Leben Blumenbergs hinein. Auch Studenten geraten in seinen Bann, darunter der fadendünne Gerhard, ein glühender Blumenbergianer, und die zarte Isa, die sich mit vollen Segeln in den Falschen verliebt.","Eine Hommage an den unbekanntesten unter den großen deutschen Philosophen: Hans Blumenberg (1920-1996). Sibylle Lewitscharoff verwandelt sich sein bildhaftes Denken an, indem sie ihm auf halbem Weg zwischen Literatur und Theologie entgegen kommt. Mit unvergleichlichem Sprachwitz dichtet sie Blumenberg einen Löwen als Weggefährten an, erzählt von Tod und Auferstehung und erfindet Schicksale von Studenten, die in den Bann des Skeptikers gerieten. Kein biografisch angelegter Künstlerroman, sondern eine Fantasie über einen Eremiten, der sich nur in seiner Arbeitshöhle zu Hause fühlte, und ein ironisches Porträt des intellektuellen Zeitgeists zu Anfang der 80er Jahre."
Das Mädchen,Angelika Klüssendorf,Kiepenheuer & Witsch,2011,Shortlist,"Am Anfang scheint alles schon zu Ende zu sein: Der Vater trinkt und taucht nur selten auf, die Mutter lässt ihre Wut an den Kindern aus, die Mitschüler meiden das Mädchen, der kleine Bruder kapselt sich ab. Und doch gibt es eine Kraft, die das Mädchen trägt. Die Bilder aus „Brehms Tierleben“, die sie bewundert, der Traum vom kleinen Haus mit Garten und immer wieder Menschen, die ihr etwas bedeuten und die sie halten. Eines hat sie gelernt: Man muss sich holen, was man braucht. Nachdem sie mehrfach beim Ladendiebstahl erwischt wird, erweist sich das Kinderheim, in das sie kommt, überraschend als ein Refugium, wo Kindheit erstmals gelebt werden kann.","Leere Schnapsflaschen, Schläge, tagelanger Hausarrest, ein hilfloser Bruder, eine unberechenbare Mutter mit wechselnden Männern im Schlepptau – so sieht der Alltag von Angelika Klüssendorfs heranwachsender Heldin aus. Doch das Mädchen besitzt eine eigentümliche Zähigkeit und beißt sich durch. Mit fotografischer Präzision nimmt die Autorin das DDR-Milieu in den Blick. Sie beherrscht die Kunst der Aussparung. Ihre Sprache ist prägnant und knapp, ihre Protagonistin eine Verlorene, die versucht, das System auszutricksen. Ein vielschichtiges Psychogramm und ein verstörender Pubertätsroman."
Die Schmerzmacherin.,Marlene Streeruwitz,S. Fischer Verlag,2011,Shortlist,"Leute werden verschleppt, verschwinden, werden eingesperrt oder gefoltert. Amy arbeitet für einen privaten Sicherheitsservice, sie kann die Korruption und Gewalt nur ahnen, die sich als Abgrund hinter den geheimen Operationen abzeichnet. Als sie beschließt auszusteigen, gerät sie endgültig in die Fänge einer undurchsichtigen, aber brutalen Organisation. Amys Verlorenheit korrespondiert mit dem Ringen um die Wahrnehmung der Realität. Was kann sie glauben? Wer ist sie selbst? Und vor allem: Was passierte an dem Tag, an den sie sich nicht erinnern kann? Ein Roman, der nach dem Ort des Individuums in einer zunehmend privatisierten Öffentlichkeit fragt.","Zeitgenössisch und sprach-körperlich nutzt dieser Roman die Möglichkeiten des Fiktionsspiels um Wahrnehmungsverschiebungen und Wirklichkeiten im Schlittern einer Figur, die im gewalttätigen Zwischenreich der Sicherheitsindustrie arbeitet. Reale und real gespielte Gewalt verschwimmen, die Grenzen - man könnte auch sagen: Möglichkeiten zu Berührung - zwischen Dingen, Menschen, Erinnerungen und Ich werden fraglich. Stockungen der Sprache sind Stockungen der Gewissheiten. Es entsteht ein mit Menschenkenntnis und Beobachtungsschärfe für unsere Gegenwart entworfenes Psychogramm einer jungen Frau und der sie umgebenden Menschen-Landschaft, erzählt in perfekt rhythmischem Ton mit Störgeräusch. Durch ungewisse Räume treiben Geld und Gewalt, schmeichelnd, gleisnerisch, zerstörerisch, aufgestörte Menschen vor sich her."
Gegen die Welt,Jan Brandt,DuMont Buchverlag,2011,Shortlist,"Ein Dorf in Ostfriesland, Kühe grasen auf den Wiesen, hinter den Tujenhecken des Neubauviertels blühen die Blumen, in den Auffahrten glänzen die Neuwagen. Hier wird Mitte der Siebziger Daniel Kuper geboren. Ein verschlossener Junge mit viel Fantasie und wenigen Möglichkeiten. Doch bald geschieht Seltsames: Mitten im Sommer schneit es heftig, ein Kornkreis entsteht, ein Schüler stellt sich auf die Bahngleise, Hakenkreuze tauchen an den Hauswänden auf. Für all das wird Daniel verantwortlich gemacht und er beginnt einen Kampf gegen die Dorfbewohner. Sie sind es, gegen die er aufbegehrt, und sie sind es, gegen die er am Ende verliert.","Jan Brandts beeindruckendes Debüt „Gegen die Welt“ ist ein neuer Versuch über die Pubertät aus der Generation Pop, mit all ihren Abwegen und Abgründen, ihrer Komik und Brutalität. Vom unvermeidlichen Unglück der Kleinfamilie, dem Aufstieg und Fall des mittelständischen Unternehmertums, dem keimenden Wahnsinn im Kopf und im Körper der, vor allem, männlichen Heranwachsenden erzählt dieses kraftvolle, experimentierfreudige Buch. Am Ende weiß man: Die nordwestdeutsche Provinz der 70er und 80er Jahre war ein hartes Pflaster."
Wunsiedel. Ein Theaterroman,Michael Buselmeier,Verlag das Wunderhorn,2011,Shortlist,"Im Sommer 1964 hat der junge Moritz Schoppe im oberfränkischen Städtchen Wunsiedel zehn leidvolle Wochen zugebracht – sein Engagement bei den dort alljährlich stattfindenden Luisenburg-Festspielen geriet zum Fiasko. 44 Jahre später stellt sich der einstige „Verfinsterungsort“ für Schoppe anders dar. Trotz anfänglicher Schwierigkeiten, sich zurecht zu finden, gefällt es ihm auf Anhieb in der würzigen Luft des Fichtelgebirges und er unternimmt romantische Wanderungen in die fränkische Vergangenheit. Auch den Hauptort früheren Unglücks, die Naturbühne der Luisenburg, sucht er auf, doch das einst so geliebte Theater ist ihm gänzlich fremd geworden.","Michael Buselmeiers „Wunsiedel“ ist ein wunderbar lebenskluger Roman. Atmosphärisch sicher beschreibt das Buch den erwartungsvollen Aufbruch eines jungen Mannes in die Welt des Theaters, in der er Ruhm und Glück zu finden hofft. Er zeigt, wie dieser junge Mann rasch alle Illusionen über die Theaterarbeit verliert, wie sich der Ort Wunsiedel, in den es ihn verschlagen hat, in eine Provinzhölle voller banaler Menschen verwandelt. Aber dann zeigt das Buch auch, wie der gealterte Romanheld 44 Jahre später ins gleiche Städtchen zurückkehrt und es mit einem Mal als einen herrlich beschaulichen, weltfernen Zufluchtsort erlebt – und spürt, dass nicht der Ort, sondern er selbst ein anderer Mensch geworden ist."
Landgericht,Ursula Krechel,Jung und Jung Verlag,2012,Winner,"Richard Kornitzer wagt 1947 die Rückkehr aus dem Exil zurück nach Deutschland. Von Beruf Richter, ist die Nazizeit mit ihren absurden und tödlichen Regeln der Riss durch sein Leben. Nichts ist mehr wie vorher, die kleine Familie zwischen dem Bodensee, Mainz und England versprengt und die Heimat beinahe fremder als das in magisches Licht getauchte Exil in Havanna. In einer Zeit, die zwischen Depression und Aufbruch schwankt, gelingt Kornitzer das Ankommen nicht. Der Roman erzählt, indem er Dokumentarisches und Fiktives kombiniert, mit großer Wucht von den Gründungsjahren einer Republik.","Ein Familienroman, ein historischer Roman und ein literarisches Experiment im Grenzgebiet zwischen Literatur und Geschichtsschreibung – das alles ist Ursula Krechels Buch „Landgericht“. Erzählt wird die Geschichte des jüdischen Richters Richard Kornitzer, seiner Vertreibung durch die Nazis und, zur Hauptsache, seiner Rückkehr ins Nachkriegsdeutschland. Kühl und feinfühlig, genau und quellensatt ersteht das Bild eines Heimkehrers, der Fremder bleibt, das Bild auch der seelischen Verwundung seiner Frau und seiner Kinder."
Fliehkräfte,Stephan Thome,Suhrkamp Verlag,2012,Shortlist,"Hartmut Hainbach ist Ende fünfzig und hat alles erreicht: Er ist Professor für Philosophie und hat seine Traumfrau geheiratet, die er nach zwanzig Jahren Ehe immer noch liebt. Dennoch ist Hartmut nicht glücklich. Seine Frau ist nach Berlin gezogen, sodass aus der Ehe eine Wochenendbeziehung geworden ist, die gemeinsame Tochter hält die Eltern auf Distanz, der Reformfuror an den Universitäten nimmt Hartmut die Lust an der Arbeit. Als ihm das Angebot zu einem Berufswechsel gemacht wird, will er endlich Klarheit – über ein Leben, von dem er dachte, dass die wichtigen Entscheidungen längst getroffen sind.","Stephan Thomes Roman „Fliehkräfte“ führt uns seismographisch genau ein Milieu vor Augen, das einmal der geistige Mittelpunkt unserer Kultur war, heute jedoch mit Wucht auseinander fliegt. Es scheitert in diesem leise daherkommenden Roman nämlich nicht nur eine Figur an sich selbst, weil sie einsehen muss, dass ihr ganzes Leben ein falscher Kompromiss ist, es geht um eine viel größere Desillusionierung: Thome zeigt uns die Disproportionalität von alter, humanistischer Gelehrsamkeit und übermächtig profaner Gegenwart."
Indigo,Clemens Setz,Suhrkamp Verlag,2012,Shortlist,"Die Helianau ist eine Internatsschule für Kinder, die an einer rätselhaften Störung leiden, dem Indigo-Syndrom. Jeden, der ihnen zu nahe kommt, befallen Übelkeit, Schwindel und heftige Kopfschmerzen. Hier unterrichtet der Mathematiklehrer Clemens Setz und wird auf seltsame Vorgänge aufmerksam: Immer wieder werden Kinder maskiert in einem Auto mit unbekanntem Ziel davongefahren. Als Setz beginnt, Nachforschungen anzustellen, wird er aus dem Schuldienst entlassen. Fünfzehn Jahre später berichten die Zeitungen von einem aufsehenerregenden Strafprozess um einen ehemaligen Mathematiklehrer, der unter Mordverdacht steht.","Der Roman „Indigo“ von Clemens J. Setz dreht sich um eine mysteriöse Krankheit und ist zugleich eine scharfsinnig-psychedelische Spurensuche nach allem, was als human gelten könnte. Man trifft auf menschliche Monster, mitfühlende Gegenstände und Männer, die in Zigarettenautomaten verschwinden. Wie funktionieren Mitleid und Empathie, wenn Religion, Moral und andere metaphysische Überbauten wegfallen? Ein phantastisches Labyrinth voller Sprachwitz, schwarzer Pädagogik und leuchtender Bizarrerien."
Nichts Weißes,Ulf Erdmann Ziegler,Suhrkamp Verlag,2012,Shortlist,"Schon früh steht für Marleen fest, dass ihr die Buchstaben eines Textes wichtiger sind als der Inhalt dahinter. Hineingeboren in eine erfolgreiche Werber- und Illustratorenfamilie, träumt sie von wahrhaft Großem: Sie möchte die perfekte Schrift erfinden. An der Kunsthochschule hat sie Rückenwind, ihr Pioniergeist treibt sie voran, und bald steckt sie mittendrin in der Jobwelt der Achtziger. Flexibilität ist gefragt und wird in der Welt der Werbung und des Designs immer wichtiger. Marleen ist ehrgeizig, überwindet alle Widerstände – und muss trotzdem aufpassen, dass sie ihren Traum nicht aus den Augen verliert.","Eine besondere, wohl neue Spielart realistischen Erzählens zeichnet Ulf Erdmann Zieglers Roman „Nichts Weißes“ aus. Gerafft, direkt, unpathetisch, minimalistisch bis in die verknappenden assoziationsreichen Wortzusammensetzungen hinein wird von einem Leben berichtet. Der Text zwingt einen beim Lesen sogar dazu, sich Zeit zu lassen. Auch die Figur selbst fasziniert, Marleen, eine junge Frau, klug, die viel will im Leben, nichts Banales, keine Karriere, sondern ihren Weg gehen und die unserer Zeit angehört."
Robinsons blaues Haus,Ernst Augustin,C. H. Beck,2012,Shortlist,"Er ist noch ein Kind, als er das erste Mal untertaucht, um der Schikane an seiner Schule zu entkommen. Seitdem zieht sich das Untertauchen ebenso durch sein Leben wie das Bauen und Einrichten neuer Häuser und Wohnungen. Er, das ist ein Namenloser: Held und Erzähler der Fabel vom letzten Robinson in einer Welt der nicht mehr vorhandenen Freiräume. Er sucht seinen Freitag und findet ihn im Chatroom: ebenso gesichts- und namenlos wie er selbst. Seine Visionen führen ihn nach Grevesmühlen, in die blaue Südsee, in den Londoner Kerker und wieder hinaus, immer begleitet von finanziellem Reichtum und geheimnisvollen Verfolgern.","""Robinsons blaues Haus"" heißt der grandiose Roman des 85jährigen Ernst Augustin. Die phantastischen Geschichten dieses Buches spielen in Grevesmühlen, London, New York und in der Südsee, der topographischen Vielfalt entspricht die der Zeitebenen: Sie zitieren Daniel Defoes Figuren Freitag und Robinson und sie geschehen mit den digitalen Möglichkeiten auch in der Gegenwart. Dieses Buch bereitet pures Lesevergnügen, es besticht durch seine Ironie, mit seinem Phantasiereichtum öffnet es auch surreale Räume."
Sand,Wolfgang Herrndorf,Rowohlt Berlin,2012,Shortlist,"September 1972: Während in München Palästinenser des ""Schwarzen September"" das Olympische Dorf überfallen, geschehen in Nordafrika mysteriöse Dinge: In einer Hippie-Kommune werden vier Menschen ermordet, ein Geldkoffer verschwindet, und ein unterbelichteter Kommissar versucht sich an der Aufklärung des Falles. Zusammen mit einem verwirrten Atomspion und einer attraktiven Amerikanerin geraten sie in ein absurdes Spiel von Zufall, Irrwegen und Missverständnissen. Im Mittelpunkt all dessen steht ein Mann ohne Gedächtnis, der zwischen alle Fronten gerät, und der dem Rätsel seiner Existenz auf die Spur kommen will.","Eine hochliterarische Abenteuergeschichte, ein so genau wie mit bösem Humor konstruiertes Buch über die Schrecken der Wüste – das ist Wolfgang Herrndorfs Roman “Sand”. Vor allem aber ist es eine große Phantasie über die Verletzlichkeit des Menschen. Wie sehr Zufälle unser Leben bestimmen, wie inbrünstig man immer wieder auf der Suche nach der eigenen Identität ist und was einen alles daran hindern kann, diese Identität zu finden: Davon erzählt Wolfgang Herrndorf mit hintergründigem Ingrimm und noch größerer Könnerschaft."
Das Ungeheuer,Terézia Mora,Luchterhand Literaturverlag,2013,Winner,"Arbeit, Arbeitsweg und Schlaf. So sah das erfolgreiche Leben von Darius Kopp aus. Bis er eines Tages den Job verlor und seine Frau sich bald darauf das Leben nahm. Seitdem lebt er apathisch dahin, verlässt für Monate die Wohnung nicht und tötet die Zeit mit Fernsehen und Fertigpizza. Er beschließt neue Wege zu gehen: Darius will das auf Ungarisch geschriebene Tagebuch seiner Frau lesen, und er muss ihre Urne beisetzen. Aber wo? In ihrem ungarischen Heimatdorf oder in Budapest oder an den Hängen des Ararat? So begibt sich Darius auf eine lange Reise – auf der Suche nach der Wahrheit über seine Frau und über sich selbst.","Darius Kopp, untröstlich über den Freitod seiner Ehefrau, fährt mit ihrer Asche im Kofferraum durch halb Osteuropa. Irgendwann auf dieser oft heiteren Trauerreise beginnt er, in Floras Aufzeichnungen zu lesen. Sie füllen die vorher halbleere Buchseite, und das Glück des Mannes prallt auf die Depressionen der Frau. Ahnungslosigkeit steht neben Hoffnungslosigkeit, Seligkeit neben Selbstvernichtung. Terézia Mora folgt ihren Protagonisten mit bewundernswerter Intensität und Beharrlichkeit. Ein höchst ungewöhnliches Buch über die Liebe: ihr Glück, ihren Fluch und ihre Unwahrscheinlichkeit."
Die Ordnung der Sterne über Como,Monika Zeiner,blumenbar,2013,Shortlist,"Frisch getrennt von seiner Ehefrau, bricht der Pianist Tom Holler mit seiner Berliner Band zu einer Konzerttour durch Italien auf. In Neapel hofft er, seine große Liebe Betty Morgenthal wiederzutreffen und endlich zu begreifen, warum er seinen besten Freund verlieren musste. Seine Erinnerung weiß von verpasstem und verspieltem Glück. Aber nur wenn er zum Kern vordringt, zu jener Nacht in Como, als das Dreigestirn der Freunde auseinanderbrach, hat sein Leben, und vielleicht auch die Liebe, eine zweite Chance. Berlin und Italien, Schwermut und Leichtsinn, die lauten und die leisen Töne – ein Roman voller Musik.","Künstlerroman, Liebesroman, Milieustudie heutiger Boheme - all das ist Monika Zeiners vielstimmiger Roman. Vor allem aber ist dieses Buch ein stilistisch und kompositorisch umwerfend souveränes Debut. Geformt von eleganter Leichtigkeit, geprägt von sinnlicher Anschaulichkeit und emphatischer Anteilnahme. Im Zentrum steht eine scheiternde Dreiecksgeschichte, die fern an Jules und Jim erinnert. Auf hohem literarischem Niveau gelingt es diesem Roman, den Leser zu unterhalten, anzurühren und auf eine Reise in die Musik zu entführen."
Die Sonnenposition,Marion Poschmann,Suhrkamp Verlag,2013,Shortlist,"Altfried Janich findet nach der Wiedervereinigung eine Stelle im »Ostschloss«, einem heruntergekommenen Barockbau, der eine psychiatrische Anstalt beherbergt. Er nimmt seinen Patienten gegenüber die Sonnenposition ein, bietet ihnen Orientierung und spendet Trost. Als sein Freund Odilo durch einen rätselhaften Autounfall stirbt, gerät er selbst auf die Nachtseite der Dinge. Tagsüber rücken ihm die Patienten zu nahe, nachts geistert er durch die Säle. Es plagen ihn Erinnerungen, seine Familiengeschichte holt ihn ein. Bald stellt sich die Gewissheit ein, dass er aus dem Schloss nicht mehr wegkommen wird.","Sichtbar und unsichtbar zu sein, das schließt sich keineswegs aus. Altfried Janich, Psychiater in einem ostdeutschen, zur Heil- und Pflegeanstalt umfunktionierten Schloss, weiß das von Profession her. In erhellender Absicht folgt der Roman Janichs Trauerprozess um einen toten Freund und malt zugleich ein historisches Stillleben dieses Landes, in dem sich Gegenwart und Vergangenheit, Ost und West, das Schöne und das Hässliche, Realismus und Poesie bedingen und verwandeln. Was wir Wirklichkeit nennen mögen, ist einem lange nicht so bildreich, detailgenau und zugleich verzaubert entgegengetreten."
Im Stein,Clemens Meyer,S. Fischer Verlag,2013,Shortlist,"Ein vielstimmiger Gesang der Nacht: Prostituierte, Engel und Geschäftsmänner kämpfen um Geld, Macht und ihre Träume. Eine junge Frau steht am Fenster, schaut in den Abendhimmel, im Januar laufen die Geschäfte nicht, die Gedanken tanzen in ihrem Kopf. »Der Pferdemann« sucht seine Tochter. »Der Bielefelder« rollt mit neuen Geschäftskonzepten den Markt auf, investiert in Clubs und Eroscenter. »AK 47« liegt angeschossen auf dem Asphalt. Schonungslos und zärtlich schreibt Clemens Meyer in seinem Roman von Nachtgestalten, von ihrem Aufstieg und Fall, vom Schmutz der Straße und dem Fluss des Geldes.","Ein vielstimmiger Chor über die dunkle Seite unserer Gegenwart. Der Roman über den „rand“-gesellschaftlichen Kontext der Rotlichtszene nimmt uns mit auf eine Reise in die Nacht, von 1989 bis in die jüngere Vergangenheit, auch als Abbild des Kapitalismus im Wandel. Brutal realistisch, surreal, anrührend, phantastisch sind die Mittel mit denen uns Clemens Meyer diese Welt zeigt, und er spart nichts aus bis hin zur Kinderprostitution. Dabei ist der Text nie voyeuristisch, aber so eindringlich und genau, wie wir es vielleicht auch nicht wissen wollten."
Nichts von euch auf Erden,Reinhard Jirgl,Carl Hanser Verlag,2013,Shortlist,"Die von Menschen auf Erden angerichteten Desaster haben jedes Maß überschritten. Der Planet ist für die Raubgier der Märkte und Mächte zu klein geworden. Im 23. Jahrhundert beginnt die Auswanderung der Starken und der Eroberer auf Mond und Mars. Sie lassen auf der Erde nur die alte Menschheit zurück, die nun ruhig ihr Erlöschen erwartet. Doch 200 Jahre später erweist sich der Mars endgültig als zu lebensfeindlich. Die neuen Menschen vom Mars kehren zurück und übernehmen brutal die Macht auf der friedlich gewordenen Erde. Was wie eine düstere Zukunftsvision klingt, ist ein hochaktueller Roman über Emigration und Heimkehr.","Reinhard Jirgls Roman führt in eine ferne Zukunft und auf einen anderen Planeten, und doch ist dieser Roman so nah an unserer Gegenwart, wie man es sich nur wünschen kann. Im Konflikt des kriegerischen Mars mit einer zwangsweise sedierten Erde wird nicht weniger verhandelt als die Conditio humana – und das in einer Sprache, die alle Register zieht und alle Grenzen hinter sich lässt. Jirgls virtuose Dystopie bietet nur einen einzigen Fluchtpunkt: die Bücher, die als letzte Überlebende Kunde geben von einer Spezies, die an ihrer eigenen Hybris zugrunde gegangen ist."
